time,X (m/s),Y (m/s),Yaw (rad)
117340,-675.067581487785,925.053519418109,4.57928055505005
117350,-675.089100027315,924.888683969102,4.57966631494762
117360,-675.110555437658,924.723839850852,4.58005192466454
117370,-675.131947754061,924.558987092901,4.58043736448184
117380,-675.153276990949,924.394125722225,4.5808226235107
117390,-675.174543138698,924.229255762861,4.58120770126984
117400,-675.19574616075,924.064377235566,4.58159260905654
117410,-675.216885992296,923.899490157642,4.58197737056909
117420,-675.237962547016,923.734594543696,4.58236201965385
117430,-675.258975729488,923.5696904072,4.58274659617916
117440,-675.279925446435,923.404777761904,4.58313114189955
117450,-675.300811616052,923.239856622997,4.58351569656575
117460,-675.321634175671,923.074927008048,4.58390029433724
117470,-675.342393087086,922.909988937654,4.58428496092481
117480,-675.363088335035,922.745042435298,4.58466971305938
117490,-675.383719920674,922.58008752653,4.58505455962145
117500,-675.404287855506,922.415124238187,4.58543950301413
117510,-675.42479215646,922.250152597774,4.58582454057117
117520,-675.445232842131,922.085172632991,4.58620966594232
117530,-675.465609930156,921.920184371406,4.58659487035243
117540,-675.485923436328,921.755187840323,4.58698014344843
117550,-675.506173374953,921.590183066819,4.58736547381669
117560,-675.526359759416,921.425170077816,4.587750849397
117570,-675.546482602732,921.260148900148,4.5881362578157
117580,-675.566541918029,921.095119560623,4.58852168664521
117590,-675.586537719188,920.930082086097,4.58890712348329
117600,-675.606470023438,920.765036503756,4.58929255527391
117610,-675.626338855501,920.599982841587,4.58967796708877
117620,-675.64614425139,920.434921128812,4.59006334088711
117630,-675.66588626162,920.26985139625,4.59044865436349
117640,-675.685564953814,920.104773676581,4.59083387991662
117650,-675.705180414154,919.939688004508,4.59121898405337
117660,-675.724732742703,919.774594416276,4.59160392887836
117670,-675.744222043799,919.609492948581,4.59198867513131
117680,-675.763648417026,919.444383637531,4.59237318527973
117690,-675.78301194949,919.279266517798,4.59275742644685
117700,-675.802312709313,919.114141621904,4.59314137313156
117710,-675.821550740122,918.949008979635,4.59352500969159
117720,-675.840726056322,918.783868617553,4.59390833257284
117730,-675.859838638945,918.618720558568,4.59429135227769
117740,-675.878888431926,918.453564821563,4.59467409504923
117750,-675.897875341598,918.288401421302,4.5950566031515
117760,-675.916799247853,918.123230369553,4.59543893113827
117770,-675.935660020547,917.958051676958,4.59582114033375
117780,-675.954457533823,917.792865354641,4.59620329344665
117790,-675.973191677942,917.627671415526,4.59658544953694
117800,-675.991862368945,917.462469875395,4.59696765940891
117810,-676.01046955448,917.297260753548,4.59734996228233
117820,-676.029013209803,917.132044072429,4.59773238574645
117830,-676.047493328885,916.966819856612,4.59811494740816
117840,-676.06590991655,916.801588131913,4.59849765674888
117850,-676.084262982214,916.636348924691,4.59888051700587
117860,-676.102552535143,916.471102261321,4.59926352700618
117870,-676.120778581401,916.305848167859,4.59964668274279
117880,-676.138941123489,916.140586669965,4.60002997825953
117890,-676.157040161527,915.975317793022,4.60041340612493
117900,-676.175075694531,915.810041562269,4.60079695778841
117910,-676.193047721626,915.644758002917,4.60118062383802
117920,-676.210956242998,915.479467140231,4.60156439418467
117930,-676.228801260989,915.314168999629,4.60194825802827
117940,-676.246582782767,915.148863606925,4.60233220317701
117950,-676.26430082375,914.98355098868,4.60271621504943
117960,-676.281955410615,914.818231172502,4.6031002756834
117970,-676.299546583729,914.652904187284,4.60348436284759
117980,-676.317074399153,914.487570063396,4.60386844923902
117990,-676.334538929134,914.322228832745,4.60425250225451
118000,-676.351940256781,914.156880528296,4.60463648571175
118010,-676.369278467609,913.991525183221,4.60502036257278
118020,-676.386553641923,913.82616283014,4.60540409763055
118030,-676.403765848408,913.660793500499,4.6057876600366
118040,-676.420915138708,913.495417224063,4.60617102563778
118050,-676.438001542863,913.330034028494,4.60655417909927
118060,-676.455025065401,913.164643938994,4.60693711580125
118070,-676.471985681879,912.999246978003,4.60731984350686
118080,-676.488883335797,912.833843164922,4.60770238375574
118090,-676.505717939347,912.668432516139,4.60808477167163
118100,-676.522489384483,912.503015046028,4.60846705228958
118110,-676.539197556992,912.337590768374,4.60884927576827
118120,-676.555842348538,912.172159697558,4.60923149277613
118130,-676.5724236666,912.00672184953,4.60961375019079
118140,-676.588941442542,911.841277242576,4.60999608719347
118150,-676.605395635656,911.675825897735,4.61037853274443
118160,-676.621786228502,911.510367838395,4.61076110592473
118170,-676.638113219244,911.344903089511,4.61114381741382
118180,-676.654376615137,911.179431676953,4.61152667109743
118190,-676.670576427361,911.013953626987,4.61190966568461
118200,-676.686712667116,910.848468965892,4.61229279627335
118210,-676.702785343271,910.682977719708,4.61267605564586
118220,-676.718794462265,910.517479914208,4.61305943498484
118230,-676.734740028976,910.351975574968,4.61344292431058
118240,-676.750622047641,910.186464727451,4.61382651282329
118250,-676.766440522691,910.020947397089,4.61421018915912
118260,-676.782195459423,909.855423609346,4.61459394158166
118270,-676.797886865123,909.689893389813,4.6149777578772
118280,-676.813514752036,909.524356764464,4.6153616245558
118290,-676.829079140905,909.358813759968,4.61574552580113
118300,-676.844580064042,909.193264403969,4.61612944244911
118310,-676.860017567803,909.027708725286,4.6165133510764
118320,-676.875391714654,908.862146754084,4.61689722317622
118330,-676.890702583094,908.696578521883,4.61728102513448
118340,-676.905950261395,908.531004061055,4.61766472023585
118350,-676.921134839051,908.365423404063,4.61804827142439
118360,-676.936256399268,908.1998365828,4.61843164398761
118370,-676.951315012636,908.034243628058,4.6188148080748
118380,-676.96631073175,907.868644569079,4.61919774102044
118390,-676.98124358669,907.703039433193,4.61958042945058
118400,-676.996113581113,907.537428245511,4.61996287116111
118410,-677.010920688752,907.371811028658,4.62034507676669
118420,-677.025664850455,907.206187802547,4.62072707100754
118430,-677.040345976544,907.040558584504,4.62110889195911
118440,-677.054963959382,906.874923390275,4.6214905868871
118450,-677.069518687361,906.709282235259,4.62187220740378
118460,-677.084010056708,906.54363513552,4.62225380484676
118470,-677.098437981211,906.377982108608,4.62263542598712
118480,-677.112802400004,906.212323174198,4.62301710919199
118490,-677.127103280251,906.046658354367,4.6233988823546
118500,-677.141340611243,905.880987673126,4.62378076361685
118510,-677.155514396723,905.715311155747,4.62416276291031
118520,-677.169624648471,905.549628828209,4.62454488359248
118530,-677.183671381307,905.383940716779,4.62492712408096
118540,-677.197654609383,905.218246847685,4.62530947941633
118550,-677.211574344179,905.052547246937,4.62569194247595
118560,-677.225430594749,904.886841940324,4.62607450461172
118570,-677.239223368694,904.721130953484,4.6264571560666
118580,-677.252952673159,904.555414311973,4.62683988629459
118590,-677.26661851571,904.389692041328,4.62722268419778
118600,-677.280220905016,904.223964167114,4.62760553829114
118610,-677.293759852241,904.058230715016,4.62798843648275
118620,-677.30723537423,903.89249171106,4.62837136519461
118630,-677.320647496934,903.726747181882,4.62875430831686
118640,-677.333996258322,903.560997154937,4.62913724622156
118650,-677.347281710721,903.395241658673,4.62952015487861
118660,-677.360503922731,903.229480722655,4.62990300508563
118670,-677.373662978245,903.063714377536,4.6302857627613
118680,-677.386758969417,902.897942654566,4.63066839117661
118690,-677.39979198841,902.732165584969,4.63105085366617
118700,-677.412762120202,902.566383199425,4.63143311623684
118710,-677.425669436524,902.400595527634,4.6318151500088
118720,-677.438513990765,902.234802597965,4.63219693346118
118730,-677.451295813647,902.069004437174,4.63257845446309
118740,-677.464014909453,901.903201070155,4.6329597120812
118750,-677.476671252651,901.737392519738,4.63334071816321
118760,-677.489264785132,901.571578806505,4.63372149854464
118770,-677.501795419325,901.405759948923,4.63410209198425
